Training Autoregressive Transformer on cuda...
Epoch 1/40 - Loss: 1.81255
Epoch 2/40 - Loss: 1.09505
Epoch 3/40 - Loss: 0.93624
Epoch 4/40 - Loss: 0.86457
Epoch 5/40 - Loss: 0.82232
Epoch 6/40 - Loss: 0.79257
Epoch 7/40 - Loss: 0.76976
Epoch 8/40 - Loss: 0.75151
Epoch 9/40 - Loss: 0.73580
Epoch 10/40 - Loss: 0.72183
Epoch 11/40 - Loss: 0.70946
Epoch 12/40 - Loss: 0.69877
Epoch 13/40 - Loss: 0.68770
Epoch 14/40 - Loss: 0.67897
Epoch 15/40 - Loss: 0.66936
Epoch 16/40 - Loss: 0.66151
Epoch 17/40 - Loss: 0.65421
Epoch 18/40 - Loss: 0.64623
Epoch 19/40 - Loss: 0.63927
Epoch 20/40 - Loss: 0.63256
Epoch 21/40 - Loss: 0.62636
Epoch 22/40 - Loss: 0.62012
Epoch 23/40 - Loss: 0.61409
Epoch 24/40 - Loss: 0.60802
Epoch 25/40 - Loss: 0.60267
Epoch 26/40 - Loss: 0.59777
Epoch 27/40 - Loss: 0.59303
Epoch 28/40 - Loss: 0.58778
Epoch 29/40 - Loss: 0.58265
Epoch 30/40 - Loss: 0.57891
Epoch 31/40 - Loss: 0.57453
Epoch 32/40 - Loss: 0.57060
Epoch 33/40 - Loss: 0.56605
Epoch 34/40 - Loss: 0.56206
Epoch 35/40 - Loss: 0.55820
Epoch 36/40 - Loss: 0.55464
Epoch 37/40 - Loss: 0.55115
Epoch 38/40 - Loss: 0.54782
Epoch 39/40 - Loss: 0.54425
Epoch 40/40 - Loss: 0.54141
Transformer saved to models/transformer_world_doom.pth
